Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1985,2,25.74,9.13,1.9,0.1,1.06,0.1,FALSE
1985,3,32.04,14.37,1.7,0.1,1.22,0.1,FALSE
1985,4,35.79,18.99,21.6,0.1,1.58,1.1,FALSE
1985,5,41.24,23.99,0.6,0.1,2.4,0,FALSE
1985,6,41.71,26.82,1.2,0.1,2.13,0.1,FALSE
1985,7,38.15,27.28,41.6,0.1,1.33,2.1,FALSE
1985,8,37.34,26.38,71.8,0.1,1.71,3.6,FALSE
1985,9,37.2,23.5,0.6,0.1,0.94,0,FALSE
1985,10,33.28,17.07,7.7,0.1,1.01,0.4,FALSE
1985,11,28.96,10.56,0,0.1,0.66,0,FALSE
1985,12,22.33,5.69,6.2,0.1,0.74,0.3,FALSE
1986,1,20.04,4.25,0.5,0.1,0.81,0,FALSE
1986,2,22.39,7.95,6.6,0.1,1.12,0.3,FALSE
1986,3,28.07,12.34,14.3,0.1,1.38,0.7,FALSE
1986,4,35.64,19.05,4.9,0.1,1.9,0.2,FALSE
1986,5,40.08,23.08,9.3,0.1,2.35,0.5,FALSE
1986,6,41.02,27.09,33.9,0.1,2.52,1.7,FALSE
1986,7,37.54,26.48,52.2,0.1,1.52,2.6,FALSE
1986,8,36.93,25.2,54.7,0.1,1.66,2.7,FALSE
1986,9,36.95,22.75,0.6,0.1,1.26,0,FALSE
1986,10,34.71,18.24,0.9,0.1,0.96,0,FALSE
1986,11,29.06,10.76,1.1,0.1,0.73,0.1,FALSE
1986,12,21.62,3.86,0.5,0.1,0.47,0,FALSE
1987,1,22,5.91,2,0.1,0.9,0.1,FALSE
1987,2,24.73,9.32,13.8,0.1,1.27,0.7,FALSE
1987,3,29.67,13.97,12,0.1,1.35,0.6,FALSE
